ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
15,Rio de Janeiro,Rio Open,16/02/15,ATP500,Outdoor,Clay,1st Round,3,Haider-Maurer A.,Ramos-Vinolas A.,74,68,673,755,3,6,6,3,6,2,,,,,2,1,Completed,2.62,1.44,2.6,1.45,2.38,1.53,2.76,1.5,2.76,1.53,2.57,1.48
15,Rio de Janeiro,Rio Open,16/02/15,ATP500,Outdoor,Clay,1st Round,3,Nieminen J.,Cecchinato M.,77,156,668,324,4,6,6,3,7,5,,,,,2,1,Completed,1.44,2.62,1.48,2.5,1.44,2.62,1.53,2.65,1.53,2.85,1.45,2.66
15,Rio de Janeiro,Rio Open,16/02/15,ATP500,Outdoor,Clay,1st Round,3,Robredo T.,Ymer E.,18,189,1800,263,6,4,6,3,,,,,,,2,0,Completed,1.14,5.5,1.14,5.25,1.17,4.5,1.17,5.85,1.17,6,1.14,5.31
15,Rio de Janeiro,Rio Open,17/02/15,ATP500,Outdoor,Clay,1st Round,3,De Bakker T.,Clezar G.,136,230,401,211,5,7,6,3,6,1,,,,,2,1,Completed,1.33,3.25,1.33,3.1,1.36,3,1.35,3.46,1.38,3.46,1.34,3.13
15,Rio de Janeiro,Rio Open,17/02/15,ATP500,Outdoor,Clay,1st Round,3,Fognini F.,Vesely J.,28,44,1320,958,1,6,7,6,6,1,,,,,2,1,Completed,1.83,1.83,1.88,1.85,1.8,1.91,1.93,1.96,1.93,1.96,1.87,1.87
15,Rio de Janeiro,Rio Open,17/02/15,ATP500,Outdoor,Clay,1st Round,3,Andujar P.,Lorenzi P.,50,67,895,762,3,6,6,0,6,3,,,,,2,1,Completed,1.53,2.37,1.55,2.35,1.57,2.25,1.58,2.53,1.59,2.55,1.54,2.39
15,Rio de Janeiro,Rio Open,17/02/15,ATP500,Outdoor,Clay,1st Round,3,Rola B.,Mayer L.,92,30,572,1264,4,6,7,6,4,1,,,,,1,1,Retired,3.75,1.25,3.6,1.25,3.5,1.29,4.07,1.28,4.07,1.29,3.7,1.26
15,Rio de Janeiro,Rio Open,17/02/15,ATP500,Outdoor,Clay,1st Round,3,Monaco J.,Giraldo S.,66,33,770,1210,6,3,3,0,,,,,,,1,0,Retired,2,1.72,2.05,1.72,2,1.73,2.19,1.75,2.2,1.8,2.06,1.72
15,Rio de Janeiro,Rio Open,17/02/15,ATP500,Outdoor,Clay,1st Round,3,Souza J.,Arguello F.,88,150,576,343,6,2,6,1,,,,,,,2,0,Completed,1.66,2.1,1.68,2.1,1.57,2.25,1.72,2.23,1.75,2.25,1.68,2.12
15,Rio de Janeiro,Rio Open,17/02/15,ATP500,Outdoor,Clay,1st Round,3,Delbonis F.,Schwartzman D.,63,62,771,782,6,7,7,6,2,1,,,,,1,1,Retired,1.9,1.8,1.9,1.8,2,1.73,2.07,1.83,2.07,1.9,1.94,1.81
